size,level,rep,ms,ok
128,1,0,1.865,1
128,1,1,1.954,1
128,1,2,1.944,1
128,2,0,0.450,1
128,2,1,0.438,1
128,2,2,0.433,1
128,2,3,0.432,1
128,2,4,0.444,1
128,2,5,0.436,1
128,2,6,0.466,1
128,2,7,0.495,1
128,2,8,0.442,1
128,2,9,0.439,1
128,3,0,0.449,1
128,3,1,0.426,1
128,3,2,0.438,1
128,3,3,0.468,1
128,3,4,0.441,1
128,3,5,0.449,1
128,3,6,0.446,1
128,3,7,0.428,1
128,3,8,0.436,1
128,3,9,0.436,1
128,4,0,0.427,1
128,4,1,0.426,1
128,4,2,0.427,1
128,4,3,0.440,1
128,4,4,0.432,1
128,4,5,0.430,1
128,4,6,0.425,1
128,4,7,0.429,1
128,4,8,0.458,1
128,4,9,0.498,1
128,5,0,0.536,1
128,5,1,0.544,1
128,5,2,0.574,1
128,5,3,0.648,1
128,5,4,0.614,1
128,5,5,0.878,1
128,5,6,0.883,1
128,5,7,0.800,1
128,5,8,0.662,1
128,5,9,0.675,1
128,6,0,0.432,1
128,6,1,0.443,1
128,6,2,0.430,1
128,6,3,0.456,1
128,6,4,0.468,1
128,6,5,0.456,1
128,6,6,0.437,1
128,6,7,0.448,1
128,6,8,0.451,1
128,6,9,0.440,1
128,cublas_e2e,0,0.323,1
128,cublas_e2e,1,0.353,1
128,cublas_e2e,2,0.345,1
128,cublas_e2e,3,0.300,1
128,cublas_e2e,4,0.338,1
128,cublas_e2e,5,0.346,1
128,cublas_e2e,6,0.410,1
128,cublas_e2e,7,0.384,1
128,cublas_e2e,8,0.386,1
128,cublas_e2e,9,0.355,1
128,cublas_kernel,0,0.024,1
128,cublas_kernel,1,0.030,1
128,cublas_kernel,2,0.025,1
128,cublas_kernel,3,0.025,1
128,cublas_kernel,4,0.024,1
128,cublas_kernel,5,0.025,1
128,cublas_kernel,6,0.029,1
128,cublas_kernel,7,0.031,1
128,cublas_kernel,8,0.029,1
128,cublas_kernel,9,0.027,1
256,1,0,15.915,1
256,1,1,13.992,1
256,1,2,15.889,1
256,2,0,1.318,1
256,2,1,1.327,1
256,2,2,1.318,1
256,2,3,1.252,1
256,2,4,1.269,1
256,2,5,1.232,1
256,2,6,1.241,1
256,2,7,1.252,1
256,2,8,1.233,1
256,2,9,1.268,1
256,3,0,1.412,1
256,3,1,1.260,1
256,3,2,1.207,1
256,3,3,1.349,1
256,3,4,1.154,1
256,3,5,1.162,1
256,3,6,1.204,1
256,3,7,1.209,1
256,3,8,1.325,1
256,3,9,1.532,1
256,4,0,1.320,1
256,4,1,1.495,1
256,4,2,1.265,1
256,4,3,1.188,1
256,4,4,1.151,1
256,4,5,1.097,1
256,4,6,1.164,1
256,4,7,1.141,1
256,4,8,1.183,1
256,4,9,1.147,1
256,5,0,1.361,1
256,5,1,1.379,1
256,5,2,1.407,1
256,5,3,1.392,1
256,5,4,1.406,1
256,5,5,1.372,1
256,5,6,1.346,1
256,5,7,1.383,1
256,5,8,1.371,1
256,5,9,1.370,1
256,6,0,1.824,1
256,6,1,1.191,1
256,6,2,1.290,1
256,6,3,1.227,1
256,6,4,1.164,1
256,6,5,1.197,1
256,6,6,1.514,1
256,6,7,1.555,1
256,6,8,1.263,1
256,6,9,1.085,1
256,cublas_e2e,0,0.653,1
256,cublas_e2e,1,0.706,1
256,cublas_e2e,2,0.629,1
256,cublas_e2e,3,0.603,1
256,cublas_e2e,4,0.648,1
256,cublas_e2e,5,0.607,1
256,cublas_e2e,6,0.760,1
256,cublas_e2e,7,1.059,1
256,cublas_e2e,8,1.199,1
256,cublas_e2e,9,0.873,1
256,cublas_kernel,0,0.051,1
256,cublas_kernel,1,0.056,1
256,cublas_kernel,2,0.051,1
256,cublas_kernel,3,0.052,1
256,cublas_kernel,4,0.052,1
256,cublas_kernel,5,0.052,1
256,cublas_kernel,6,0.051,1
256,cublas_kernel,7,0.052,1
256,cublas_kernel,8,0.051,1
256,cublas_kernel,9,0.051,1
512,1,0,350.262,1
512,1,1,320.663,1
512,1,2,321.009,1
512,2,0,7.478,1
512,2,1,7.659,1
512,2,2,7.855,1
512,2,3,7.890,1
512,2,4,9.010,1
512,2,5,8.016,1
512,2,6,7.461,1
512,2,7,7.607,1
512,2,8,7.522,1
512,2,9,7.403,1
512,3,0,9.325,1
512,3,1,9.832,1
512,3,2,5.868,1
512,3,3,5.655,1
512,3,4,5.652,1
512,3,5,5.364,1
512,3,6,5.526,1
512,3,7,5.506,1
512,3,8,6.008,1
512,3,9,5.383,1
512,4,0,4.866,1
