size,level,reps,ms_median,ms_min,ms_stddev,gflops_median,gflops_best
128,1,3,1.944,1.865,0.049,2.16,2.25
128,2,10,0.441,0.432,0.019,9.52,9.71
128,3,10,0.44,0.426,0.012,9.54,9.85
128,4,10,0.429,0.425,0.023,9.77,9.87
128,5,10,0.655,0.536,0.13,6.4,7.83
128,6,10,0.446,0.43,0.012,9.41,9.75
128,cublas_e2e,10,0.349,0.3,0.032,12.0,13.98
128,cublas_kernel,10,0.026,0.024,0.003,161.32,174.76
256,1,3,15.889,13.992,1.103,2.11,2.4
256,2,10,1.26,1.232,0.037,26.63,27.24
256,3,10,1.235,1.154,0.122,27.18,29.08
256,4,10,1.173,1.097,0.118,28.59,30.59
256,5,10,1.376,1.346,0.019,24.39,24.93
256,6,10,1.245,1.085,0.228,26.95,30.93
256,cublas_e2e,10,0.679,0.603,0.207,49.38,55.65
256,cublas_kernel,10,0.051,0.051,0.002,651.54,657.93
512,1,3,321.009,320.663,16.99,0.84,0.84
512,2,10,7.633,7.403,0.475,35.17,36.26
512,3,10,5.654,5.364,1.685,47.48,50.04
512,4,10,4.519,4.157,0.215,59.4,64.57
512,5,10,4.638,4.289,0.42,57.88,62.59
512,6,10,4.207,4.102,0.504,63.81,65.44
512,cublas_e2e,10,2.034,1.833,0.286,132.01,146.45
512,cublas_kernel,10,0.186,0.184,0.002,1443.2,1458.89
1024,1,3,12719.12,11810.255,1162.553,0.17,0.18
1024,2,10,53.571,43.087,14.822,40.09,49.84
1024,3,10,39.168,25.784,7.509,54.83,83.29
1024,4,10,26.438,22.253,5.929,81.23,96.5
1024,5,10,25.291,21.626,16.985,84.91,99.3
1024,6,10,25.523,20.78,4.649,84.14,103.34
1024,cublas_e2e,10,16.355,16.11,0.329,131.3,133.3
1024,cublas_kernel,10,1.657,1.643,0.013,1296.01,1307.05
2048,2,10,283.462,275.126,10.791,60.61,62.44
2048,3,10,136.276,125.686,24.311,126.07,136.69
2048,4,10,107.16,99.978,19.628,160.32,171.84
2048,5,10,95.064,89.152,22.314,180.72,192.7
2048,6,10,96.442,91.925,24.213,178.14,186.89
2048,cublas_e2e,10,62.227,53.996,12.642,276.08,318.17
2048,cublas_kernel,10,13.64,13.138,0.211,1259.48,1307.65
